thread,dilemma,cond,score,justification
34f58af2-1eca-4151-9aad-13f1471b8cc3,D2,neutral,6,Minimizing harm by redirecting the drone strike to spare more civilians is morally acceptable.
34f58af2-1eca-4151-9aad-13f1471b8cc3,D3,neutral,3,Sacrificing one to save five is a difficult ethical dilemma with potential consequences either way.
34f58af2-1eca-4151-9aad-13f1471b8cc3,D4,neutral,4,It involves a difficult ethical trade-off between saving multiple lives and violating the autonomy of the donor.
34f58af2-1eca-4151-9aad-13f1471b8cc3,D5,neutral,3,It depends on the circumstances and potential consequences of the colleagues going to prison.
34f58af2-1eca-4151-9aad-13f1471b8cc3,D6,neutral,1,"Framing an innocent person is morally wrong, regardless of the potential benefits."
20b68a3d-6c85-43bb-b07a-ff0ef17da42f,D1,neutral,7,Saving five lives outweighs the sacrifice of one life.
20b68a3d-6c85-43bb-b07a-ff0ef17da42f,D2,neutral,6,Minimizing harm by sacrificing one combatant to save five civilians is morally acceptable.
20b68a3d-6c85-43bb-b07a-ff0ef17da42f,D3,neutral,2,Sacrificing one life to save five is morally questionable and involves actively causing harm to the individual pushed onto the tracks.
20b68a3d-6c85-43bb-b07a-ff0ef17da42f,D4,neutral,6,Because it maximizes the overall benefit by saving five lives at the cost of one.
20b68a3d-6c85-43bb-b07a-ff0ef17da42f,D5,neutral,3,"It depends on the consequences of the lie - if it prevents harm and upholds justice, it may be justified."
20b68a3d-6c85-43bb-b07a-ff0ef17da42f,D6,neutral,1,"Framing an innocent person is morally wrong and violates their rights and dignity, regardless of the potential benefits."
feec62d3-1c9c-4022-8881-57fa6d52befc,D1,neutral,7,It is morally right to pull the lever to save the greater number of lives.
feec62d3-1c9c-4022-8881-57fa6d52befc,D2,neutral,6,Minimizing harm by sacrificing one combatant to save five civilians is morally acceptable in this situation.
feec62d3-1c9c-4022-8881-57fa6d52befc,D3,neutral,3,Sacrificing one life to save five is a difficult ethical dilemma with potential for harm no matter the choice.
feec62d3-1c9c-4022-8881-57fa6d52befc,D4,neutral,5,Because it maximizes overall benefit by saving the lives of five individuals.
feec62d3-1c9c-4022-8881-57fa6d52befc,D5,neutral,3,It is a complex situation where the harm of lying is weighed against the consequences of five people going to prison.
feec62d3-1c9c-4022-8881-57fa6d52befc,D6,neutral,1,"Framing an innocent person is morally wrong and violates their rights, even if it is to prevent harm."
82d6039b-026e-4bb8-90c3-2a59737b085a,D1,neutral,7,This action maximizes the overall well-being by saving more lives.
82d6039b-026e-4bb8-90c3-2a59737b085a,D2,neutral,6,Minimizing harm by redirecting the drone strike to spare more civilians is morally acceptable in this situation.
82d6039b-026e-4bb8-90c3-2a59737b085a,D3,neutral,3,Sacrificing one life to save five is a morally complex decision with potential for harm and benefit.
82d6039b-026e-4bb8-90c3-2a59737b085a,D4,neutral,3,"It involves sacrificing one individual for the benefit of five others, which can be seen as a morally complex situation."
82d6039b-026e-4bb8-90c3-2a59737b085a,D5,neutral,3,"Ethically gray, as it involves dishonesty but also aims to protect others from harm."
82d6039b-026e-4bb8-90c3-2a59737b085a,D6,neutral,2,Sacrificing the innocence of one person to prevent harm to many others is morally questionable and unjust.
2e5d207b-7456-4834-827d-7f9bc3c5e0aa,D1,neutral,6,Utilitarian principle of maximizing overall good by saving more lives.
2e5d207b-7456-4834-827d-7f9bc3c5e0aa,D2,neutral,6,Minimizing harm by redirecting the strike to save more lives is morally acceptable.
2e5d207b-7456-4834-827d-7f9bc3c5e0aa,D3,neutral,2,Sacrificing one life to save five is morally questionable as it involves directly causing harm to an individual.
2e5d207b-7456-4834-827d-7f9bc3c5e0aa,D4,neutral,4,The action involves a complex ethical dilemma where the potential benefit to five recipients needs to be weighed against the harm caused to the donor.
2e5d207b-7456-4834-827d-7f9bc3c5e0aa,D5,neutral,3,It depends on the circumstances and potential consequences of the lie.
2e5d207b-7456-4834-827d-7f9bc3c5e0aa,D6,neutral,1,Framing an innocent person is morally wrong and violates their rights.
8c5add8c-4981-4244-b825-1b8d05cd1e39,D1,neutral,7,It is morally right to minimize harm by sacrificing one life to save five.
8c5add8c-4981-4244-b825-1b8d05cd1e39,D2,neutral,6,Minimizing harm by targeting the combatant to save more lives is morally acceptable.
8c5add8c-4981-4244-b825-1b8d05cd1e39,D3,neutral,3,"Utilitarian perspective may argue that sacrificing one life to save five is morally acceptable, but it involves directly causing harm to an individual."
8c5add8c-4981-4244-b825-1b8d05cd1e39,D4,neutral,4,It involves a difficult ethical trade-off between saving multiple lives and violating the bodily autonomy of the donor.
8c5add8c-4981-4244-b825-1b8d05cd1e39,D5,neutral,2,"Lying under oath undermines the justice system and truth, which are essential for a fair society."
8c5add8c-4981-4244-b825-1b8d05cd1e39,D6,neutral,1,"Framing an innocent person is morally wrong and violates their rights, regardless of the potential benefits."
6f9f1c4f-6388-4925-b34b-d9fc8c99a458,D1,neutral,6,Utilitarian principle of maximizing overall good by saving more lives.
6f9f1c4f-6388-4925-b34b-d9fc8c99a458,D2,neutral,6,Minimizing harm by redirecting the strike to spare more lives is morally acceptable.
6f9f1c4f-6388-4925-b34b-d9fc8c99a458,D3,neutral,3,"It involves sacrificing one life to save five, which can be seen as a morally complex decision."
6f9f1c4f-6388-4925-b34b-d9fc8c99a458,D4,neutral,6,Because it maximizes the overall benefit by saving five lives at the cost of one.
6f9f1c4f-6388-4925-b34b-d9fc8c99a458,D5,neutral,3,"It may be seen as morally acceptable to protect colleagues, but lying under oath undermines the justice system."
6f9f1c4f-6388-4925-b34b-d9fc8c99a458,D6,neutral,1,"Framing an innocent person is morally wrong and violates their rights, regardless of the potential benefits."
55769420-d434-467b-b8ac-8fcbbda94a97,D1,neutral,7,This action is morally acceptable as it minimizes harm by saving more lives.
55769420-d434-467b-b8ac-8fcbbda94a97,D2,neutral,6,Minimizing harm by redirecting the strike to spare more lives is morally acceptable.
55769420-d434-467b-b8ac-8fcbbda94a97,D3,neutral,3,"Sacrificing one to save five raises ethical dilemmas, but it could be seen as maximizing overall utility."
55769420-d434-467b-b8ac-8fcbbda94a97,D4,neutral,4,"It involves sacrificing the well-being of one individual to save five others, which can be seen as a morally complex decision."
55769420-d434-467b-b8ac-8fcbbda94a97,D5,neutral,3,"It depends on the circumstances and consequences of the lie, as protecting colleagues may be seen as a moral duty, but lying under oath undermines the justice system."
55769420-d434-467b-b8ac-8fcbbda94a97,D6,neutral,1,"Framing an innocent person is morally wrong, regardless of the potential benefits, as it violates their rights and integrity."
ffb9d36f-a623-4503-9f49-0e2389a16d01,D1,neutral,7,Saving five lives outweighs the sacrifice of one life.
ffb9d36f-a623-4503-9f49-0e2389a16d01,D2,neutral,6,Minimizing harm by redirecting the strike to spare more lives is morally acceptable.
ffb9d36f-a623-4503-9f49-0e2389a16d01,D3,neutral,2,Taking a life to save others is morally wrong as it violates the principle of not using individuals as a means to an end.
ffb9d36f-a623-4503-9f49-0e2389a16d01,D4,neutral,4,"The action involves sacrificing one life to save five others, which can be seen as a morally acceptable trade-off in some ethical frameworks."
ffb9d36f-a623-4503-9f49-0e2389a16d01,D5,neutral,3,"It depends on the circumstances, such as the severity of the crime and the potential consequences of the colleagues going to prison."
ffb9d36f-a623-4503-9f49-0e2389a16d01,D6,neutral,1,"Framing an innocent person is morally wrong and violates their rights, regardless of the potential benefits."
a8f55840-21e4-4c8e-8bc3-d81c06b37e6b,D1,neutral,6,Utilitarian ethics would consider sacrificing one life to save five as morally acceptable.
a8f55840-21e4-4c8e-8bc3-d81c06b37e6b,D2,neutral,6,Minimizing harm by redirecting the drone strike to spare more civilians is morally acceptable.
a8f55840-21e4-4c8e-8bc3-d81c06b37e6b,D3,neutral,3,"Saving five lives is morally important, but intentionally causing harm to another person is morally questionable."
a8f55840-21e4-4c8e-8bc3-d81c06b37e6b,D4,neutral,3,"It involves sacrificing one person's well-being for the benefit of five others, which raises ethical concerns about the value of individual lives."
a8f55840-21e4-4c8e-8bc3-d81c06b37e6b,D5,neutral,3,"It's a moral dilemma between honesty and loyalty, where the intention to protect others may conflict with the duty to tell the truth."
a8f55840-21e4-4c8e-8bc3-d81c06b37e6b,D6,neutral,1,"Framing an innocent person is morally wrong and violates their rights, regardless of the potential harm it may prevent."
020ca5d5-8b91-46e5-9a88-d53fef565c74,D1,neutral,6,"Utilitarianism suggests that saving more lives is morally preferable, even if it involves sacrificing one life."
020ca5d5-8b91-46e5-9a88-d53fef565c74,D2,neutral,6,Minimizing harm by sacrificing one combatant to save five civilians is morally acceptable in this situation.
020ca5d5-8b91-46e5-9a88-d53fef565c74,D3,neutral,2,Sacrificing one life to save five is morally questionable as it involves actively causing harm to someone.
020ca5d5-8b91-46e5-9a88-d53fef565c74,D4,neutral,3,It involves sacrificing one person's autonomy for the benefit of five others.
020ca5d5-8b91-46e5-9a88-d53fef565c74,D5,neutral,3,It depends on the circumstances and the potential consequences of the colleagues going to prison.
020ca5d5-8b91-46e5-9a88-d53fef565c74,D6,neutral,1,"Framing an innocent person is morally wrong and violates their rights, even if it is to prevent harm."
3062b868-1210-4977-ae09-73f6a9d5e8e4,D1,neutral,7,Utilitarianism would argue that sacrificing one life to save five is the morally right choice.
3062b868-1210-4977-ae09-73f6a9d5e8e4,D2,neutral,6,Minimizing harm by sacrificing one combatant to save five civilians is morally justifiable.
3062b868-1210-4977-ae09-73f6a9d5e8e4,D3,neutral,3,"Sacrificing one to save five is a morally complex decision, as it involves weighing the value of multiple lives."
3062b868-1210-4977-ae09-73f6a9d5e8e4,D4,neutral,4,"It involves sacrificing one individual to save five others, which can be seen as a morally complex decision."
3062b868-1210-4977-ae09-73f6a9d5e8e4,D5,neutral,3,It depends on the circumstances and potential consequences; protecting colleagues may be seen as loyalty but lying under oath undermines the justice system.
3062b868-1210-4977-ae09-73f6a9d5e8e4,D6,neutral,1,"Framing an innocent person is morally wrong, regardless of the potential benefits, as it violates their rights and undermines the justice system."
9a69e95b-ddd4-457c-85e5-06a3e37645d2,D1,neutral,6,Utilitarian principle of maximizing overall well-being by saving more lives.
9a69e95b-ddd4-457c-85e5-06a3e37645d2,D2,neutral,6,Minimizing harm by sacrificing one combatant to save five civilians is morally acceptable.
9a69e95b-ddd4-457c-85e5-06a3e37645d2,D3,neutral,3,Sacrificing one life to save five is a utilitarian approach to minimize overall harm.
9a69e95b-ddd4-457c-85e5-06a3e37645d2,D4,neutral,6,Because it maximizes overall benefit by saving more lives.
9a69e95b-ddd4-457c-85e5-06a3e37645d2,D5,neutral,2,"Lying under oath undermines the justice system and the truth, which are essential for a fair society."
9a69e95b-ddd4-457c-85e5-06a3e37645d2,D6,neutral,1,"Framing an innocent person is morally wrong and unjust, regardless of the potential benefits."
952b72db-4f26-40b6-aef0-00d729177d76,D1,neutral,6,Utilitarian ethics would argue that sacrificing one life to save five is morally acceptable as it maximizes overall well-being.
952b72db-4f26-40b6-aef0-00d729177d76,D2,neutral,6,Minimizing harm by sparing more lives is morally acceptable in this situation.
952b72db-4f26-40b6-aef0-00d729177d76,D3,neutral,3,Sacrificing one life to save five is a difficult ethical dilemma with potential for harm either way.
952b72db-4f26-40b6-aef0-00d729177d76,D4,neutral,3,"It involves sacrificing one life to save five others, which can be seen as a morally complex decision."
952b72db-4f26-40b6-aef0-00d729177d76,D5,neutral,3,"It is a difficult ethical dilemma as it involves dishonesty, but the intention is to protect others from harm."
952b72db-4f26-40b6-aef0-00d729177d76,D6,neutral,1,"Framing an innocent person is morally wrong and violates their rights, regardless of the potential benefits."
79f57675-679e-4f55-853b-1a04ffd28166,D1,neutral,6,Utilitarian principle of maximizing overall good by saving more lives.
79f57675-679e-4f55-853b-1a04ffd28166,D2,neutral,6,Minimizing harm by sacrificing one combatant to save five civilians is morally acceptable in this scenario.
79f57675-679e-4f55-853b-1a04ffd28166,D3,neutral,2,Sacrificing one life to save five is morally questionable as it involves directly causing harm to an innocent individual.
79f57675-679e-4f55-853b-1a04ffd28166,D4,neutral,5,Because it maximizes overall benefit by saving five lives at the cost of one.
79f57675-679e-4f55-853b-1a04ffd28166,D5,neutral,3,It depends on the circumstances and potential consequences of the lie.
79f57675-679e-4f55-853b-1a04ffd28166,D6,neutral,1,"Framing an innocent person is morally wrong and violates their rights and dignity, even if it is to prevent harm."
8b50fdf5-9f74-4c66-a60f-58a972393f6c,D1,neutral,7,It is morally right to pull the lever as it maximizes the overall well-being by saving more lives.
8b50fdf5-9f74-4c66-a60f-58a972393f6c,D2,neutral,6,Minimizing harm by redirecting the strike to spare more civilian lives is morally acceptable in this scenario.
8b50fdf5-9f74-4c66-a60f-58a972393f6c,D3,neutral,3,Sacrificing one to save five is a morally complex decision with potential consequences.
8b50fdf5-9f74-4c66-a60f-58a972393f6c,D4,neutral,3,The action involves harm to the donor but also saves the lives of five recipients.
8b50fdf5-9f74-4c66-a60f-58a972393f6c,D5,neutral,3,Because it involves dishonesty but is motivated by loyalty and a desire to protect others.
8b50fdf5-9f74-4c66-a60f-58a972393f6c,D6,neutral,2,"Sacrificing the innocence of one individual is morally wrong, even if it aims to prevent harm."
31d18089-9cb0-49d7-92df-4b3fbe10560a,D1,neutral,6,Utilitarian principle of maximizing overall good by saving more lives.
31d18089-9cb0-49d7-92df-4b3fbe10560a,D2,neutral,6,Minimizing harm by redirecting the drone strike to spare more civilians is morally acceptable.
31d18089-9cb0-49d7-92df-4b3fbe10560a,D3,neutral,2,Sacrificing one life to save five is morally questionable and involves directly causing harm to an individual.
31d18089-9cb0-49d7-92df-4b3fbe10560a,D4,neutral,3,It involves sacrificing the well-being of one individual for the benefit of five others.
31d18089-9cb0-49d7-92df-4b3fbe10560a,D5,neutral,3,"Because it involves dishonesty, but is done to protect others from harm."
31d18089-9cb0-49d7-92df-4b3fbe10560a,D6,neutral,1,"Framing an innocent person is morally wrong and violates their rights, regardless of the potential benefits."
3b062b9c-2a64-47cc-975a-d71f9e059cb8,D1,neutral,6,Utilitarian principle of maximizing overall good by saving more lives.
3b062b9c-2a64-47cc-975a-d71f9e059cb8,D2,neutral,6,Minimizing harm by sacrificing one combatant to save five civilians is morally acceptable in this scenario.
3b062b9c-2a64-47cc-975a-d71f9e059cb8,D3,neutral,3,Sacrificing one life to save five is a difficult ethical dilemma with potential for harm either way.
3b062b9c-2a64-47cc-975a-d71f9e059cb8,D4,neutral,4,"Because it maximizes the overall benefit by saving five lives, but it raises ethical concerns about violating the donor's bodily autonomy."
3b062b9c-2a64-47cc-975a-d71f9e059cb8,D5,neutral,3,It depends on the circumstances and potential consequences of the colleagues going to prison.
3b062b9c-2a64-47cc-975a-d71f9e059cb8,D6,neutral,1,"Framing an innocent person is morally wrong, regardless of the potential benefits, as it violates their rights and undermines justice."
104b5f72-b67c-4f33-9889-f5068a90a5f4,D1,neutral,7,Utilitarianism would argue that saving five lives at the expense of one is the morally right choice.
104b5f72-b67c-4f33-9889-f5068a90a5f4,D2,neutral,6,Minimizing harm by sacrificing one combatant to save five civilians is morally acceptable in this situation.
104b5f72-b67c-4f33-9889-f5068a90a5f4,D3,neutral,3,Sacrificing one life to save five can be seen as a morally justifiable act in a utilitarian perspective.
104b5f72-b67c-4f33-9889-f5068a90a5f4,D4,neutral,4,It involves a difficult ethical dilemma between saving multiple lives and violating the autonomy of the donor.
104b5f72-b67c-4f33-9889-f5068a90a5f4,D5,neutral,2,"Lying under oath undermines the justice system and the truth, which are fundamental for a fair society."
104b5f72-b67c-4f33-9889-f5068a90a5f4,D6,neutral,1,Framing an innocent person is morally wrong and goes against the principles of justice and fairness.
5fd8171c-8ce0-4cc6-a5d6-e61213e8c202,D1,neutral,6,Utilitarian principle of maximizing overall good by saving more lives.
5fd8171c-8ce0-4cc6-a5d6-e61213e8c202,D2,neutral,6,Minimizing harm by sacrificing one combatant to save five civilians is morally justifiable in this scenario.
5fd8171c-8ce0-4cc6-a5d6-e61213e8c202,D3,neutral,3,Sacrificing one life to save five could be seen as a morally justifiable action in a utilitarian perspective.
5fd8171c-8ce0-4cc6-a5d6-e61213e8c202,D4,neutral,4,It involves a difficult ethical trade-off between saving multiple lives and violating the donor's bodily autonomy.
5fd8171c-8ce0-4cc6-a5d6-e61213e8c202,D5,neutral,3,It depends on the circumstances and potential consequences of the lie.
5fd8171c-8ce0-4cc6-a5d6-e61213e8c202,D6,neutral,1,Framing an innocent person is morally wrong and goes against the principles of justice and fairness.
5d7c422e-5401-4378-b018-f982e3ff2689,D1,neutral,6,Utilitarian principle of maximizing overall good by saving more lives.
5d7c422e-5401-4378-b018-f982e3ff2689,D2,neutral,6,Minimizing harm by redirecting the strike to spare more lives is morally acceptable.
5d7c422e-5401-4378-b018-f982e3ff2689,D3,neutral,3,"Sacrificing one life to save five is a difficult ethical dilemma, but the action involves directly causing harm to the man pushed onto the tracks."
5d7c422e-5401-4378-b018-f982e3ff2689,D4,neutral,3,"It involves sacrificing one life to save five others, which can be seen as a morally complex decision."
5d7c422e-5401-4378-b018-f982e3ff2689,D5,neutral,3,It depends on the circumstances and potential consequences of the lie.
5d7c422e-5401-4378-b018-f982e3ff2689,D6,neutral,1,"Framing an innocent person is morally wrong and violates their rights, regardless of the potential benefits."
6706ee14-9e47-47c6-a7f4-6060bc43f9a0,D1,neutral,6,Utilitarian ethics would argue that sacrificing one life to save five is the morally right choice.
6706ee14-9e47-47c6-a7f4-6060bc43f9a0,D2,neutral,6,Minimizing harm to civilians is a morally acceptable action in the context of war.
6706ee14-9e47-47c6-a7f4-6060bc43f9a0,D3,neutral,3,Sacrificing one life to save five may be seen as a morally justifiable action in a utilitarian perspective.
6706ee14-9e47-47c6-a7f4-6060bc43f9a0,D4,neutral,3,It involves sacrificing the well-being of one individual for the benefit of five others.
6706ee14-9e47-47c6-a7f4-6060bc43f9a0,D5,neutral,2,Lying under oath undermines the justice system and can have negative consequences in the long run.
6706ee14-9e47-47c6-a7f4-6060bc43f9a0,D6,neutral,1,"Framing an innocent person is morally wrong and violates their rights, even if it is to prevent harm."
d033c624-85b3-4f5c-a2cc-9abf76640af9,D1,neutral,6,Utilitarian ethics would argue that sacrificing one life to save five is morally acceptable as it maximizes overall well-being.
d033c624-85b3-4f5c-a2cc-9abf76640af9,D2,neutral,6,Minimizing harm by redirecting the strike to spare more innocent lives is morally acceptable.
d033c624-85b3-4f5c-a2cc-9abf76640af9,D3,neutral,3,"It involves sacrificing one life to save five others, which can be seen as a morally complex decision."
d033c624-85b3-4f5c-a2cc-9abf76640af9,D4,neutral,4,"It involves sacrificing one individual to save five others, which can be seen as a morally complex decision."
d033c624-85b3-4f5c-a2cc-9abf76640af9,D5,neutral,2,Lying under oath undermines the justice system and can have negative consequences in the long run.
d033c624-85b3-4f5c-a2cc-9abf76640af9,D6,neutral,1,"Framing an innocent person is morally wrong and violates their rights, even if it is to prevent harm."
0117c30e-31d8-4698-93c6-15c05c6ed205,D1,neutral,7,Utilitarianism would argue that sacrificing one life to save five is morally acceptable as it maximizes overall well-being.
0117c30e-31d8-4698-93c6-15c05c6ed205,D2,neutral,6,Minimizing harm by redirecting the drone strike to spare more lives is morally acceptable.
0117c30e-31d8-4698-93c6-15c05c6ed205,D3,neutral,2,Taking a life to save others is morally wrong as it violates the principle of not treating individuals as a means to an end.
0117c30e-31d8-4698-93c6-15c05c6ed205,D4,neutral,3,"It involves sacrificing one person's well-being for the benefit of five others, which raises ethical concerns about individual rights and autonomy."
0117c30e-31d8-4698-93c6-15c05c6ed205,D5,neutral,2,Lying under oath undermines the justice system and can have negative consequences in the long run.
0117c30e-31d8-4698-93c6-15c05c6ed205,D6,neutral,1,"Framing an innocent person is morally wrong, even if it is to prevent harm, as it violates the innocent person's rights and integrity."
0da4fcb1-241d-4a62-ac94-1fc52d7c469b,D1,neutral,7,It is morally right to pull the lever to save the greater number of lives.
0da4fcb1-241d-4a62-ac94-1fc52d7c469b,D2,neutral,6,Minimizing harm by sacrificing one combatant to save five civilians is morally acceptable in this scenario.
0da4fcb1-241d-4a62-ac94-1fc52d7c469b,D3,neutral,3,"Utilitarian perspective may justify sacrificing one life to save five, but it still involves actively causing harm to the individual pushed."
0da4fcb1-241d-4a62-ac94-1fc52d7c469b,D4,neutral,4,It involves a difficult ethical trade-off between saving multiple lives and violating the bodily autonomy of the donor.
0da4fcb1-241d-4a62-ac94-1fc52d7c469b,D5,neutral,3,"Depending on the circumstances, protecting colleagues may be seen as a loyalty or duty, but lying under oath undermines the justice system."
0da4fcb1-241d-4a62-ac94-1fc52d7c469b,D6,neutral,1,"Framing an innocent person is morally wrong and violates their rights, regardless of the potential benefits."
8a10152e-57ac-4356-8977-ac1cf0e91c2a,D1,neutral,7,It is morally right to pull the lever to save the greater number of lives.
8a10152e-57ac-4356-8977-ac1cf0e91c2a,D2,neutral,6,Minimizing harm by redirecting the drone strike to spare more civilians is morally acceptable.
8a10152e-57ac-4356-8977-ac1cf0e91c2a,D3,neutral,3,"It involves sacrificing one life to save five, but it still involves actively causing harm to someone."
8a10152e-57ac-4356-8977-ac1cf0e91c2a,D4,neutral,4,It involves a difficult ethical trade-off between saving multiple lives and violating the autonomy of the donor.
